FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e11,POINT (3.202 51.348),6418,2024-06-11T02:30:00,1013.36,12.22,65.38,0,5.14,307,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e10,POINT (4.358 50.797),6447,2024-06-11T02:30:00,1002.8,7.31,96.47,0,,258.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0f,POINT (5.255 50.194),6472,2024-06-11T02:30:00,980.68,6.11,91.11,0,1.72,241.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0e,POINT (5.255 50.194),6472,2024-06-11T02:40:00,980.75,5.95,91.4,0,2.13,242.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0d,POINT (4.358 50.797),6447,2024-06-11T02:40:00,1002.88,7.09,96.55,0,,247.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0c,POINT (3.202 51.348),6418,2024-06-11T02:40:00,1013.36,12.17,64.33,0,4.99,297.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0b,POINT (5.255 50.194),6472,2024-06-11T02:50:00,980.78,5.62,91.57,0,1.85,239.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e0a,POINT (4.358 50.797),6447,2024-06-11T02:50:00,1002.88,6.95,96.89,0,,242.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e09,POINT (3.202 51.348),6418,2024-06-11T02:50:00,1013.45,12.17,65.04,0,4.56,295.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e08,POINT (3.202 51.348),6418,2024-06-11T03:00:00,1013.52,12.12,64.57,0,4.19,293.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e07,POINT (4.358 50.797),6447,2024-06-11T03:00:00,1002.92,6.87,97.03,0,,239,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e06,POINT (5.255 50.194),6472,2024-06-11T03:00:00,980.84,5.22,91.83,0,2.07,216.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e05,POINT (4.358 50.797),6447,2024-06-11T03:10:00,1003.04,7.06,97.26,0,,245.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e04,POINT (3.202 51.348),6418,2024-06-11T03:10:00,1013.59,12.12,63.16,0,4.32,291.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e03,POINT (5.255 50.194),6472,2024-06-11T03:10:00,980.9,5.4,92.31,0,1.66,219.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e02,POINT (3.202 51.348),6418,2024-06-11T03:20:00,1013.6,12.15,62.14,0,4.25,295.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e01,POINT (5.255 50.194),6472,2024-06-11T03:20:00,980.91,5.46,92.51,0,1.78,211.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e00,POINT (4.358 50.797),6447,2024-06-11T03:20:00,1003.16,7.32,97.38,0,,251.1,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
